TeslaModel,HomeChargerAvailable,Segment,ChargingFrequency,LocationPreference,PriceSensitivity,SpeedPreference,ChosenStationPrice,ChosenStationSpeed,ChosenStationLocation,ConjointPrice,ConjointSpeed,ConjointPerks,PlanType,UsageLimit,AdSpend,StationUsage,Revenue,CampaignType,FirstTimeUser,DiscountApplied,UserLocation
Model S,Yes,Urban Commuter,3,Supercharger - Urban,Low,Fast,0.29,Fast,Highway,0.45,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,1246.94,19,55.1,Referral,No,No,Rural
Model X,No,Urban Commuter,4,Home,High,Moderate,0.43,Fast,Urban,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,3856.52,18,77.4,Loyalty Program,Yes,Yes,Rural
Model S,Yes,Urban Commuter,1,Home,Low,Fast,0.43,Fast,Highway,0.25,Fast,None,Pay-Per-Use,50 kWh/month,2202.23,14,60.2,Loyalty Program,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,2,Home,High,Fast,0.47,Fast,Highway,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,2629.28,19,89.3,Loyalty Program,Yes,Yes,Highway Region
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.4,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,3336.79,18,72,Discount,Yes,No,Rural
Model Y,Yes,Urban Commuter,2,Supercharger - Urban,Low,Fast,0.28,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4585.43,20,56,Discount,Yes,Yes,Rural
Model Y,Yes,Long-Distance Traveler,1,Home,Medium,Fast,0.28,Fast,Urban,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,2385.89,22,61.6,Referral,No,No,Urban
Model 3,No,Long-Distance Traveler,7,Supercharger - Urban,High,Fast,0.43,Fast,Destination,0.45,Fast,None,Monthly Subscription,Up to 200 kWh,4024.93,19,81.7,None,No,No,Urban
Model S,Yes,Urban Commuter,1,Destination Charger,High,Fast,0.3,Fast,Highway,0.25,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,1707.53,20,60,Referral,No,No,Urban
Model X,No,Long-Distance Traveler,6,Supercharger - Highway,Medium,Fast,0.33,Fast,Urban,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,3640.87,20,66,Discount,Yes,Yes,Suburban
Model 3,Yes,Urban Commuter,2,Home,Low,Fast,0.37,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,507.11,23,85.1,Loyalty Program,No,No,Highway Region
Model S,No,Long-Distance Traveler,3,Supercharger - Urban,Low,Moderate,0.26,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,4421.78,27,70.2,Loyalty Program,No,No,Highway Region
Model 3,No,Urban Commuter,3,Supercharger - Urban,High,Fast,0.31,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,636.71,32,99.2,Referral,No,No,Urban
Model S,No,Long-Distance Traveler,2,Destination Charger,Medium,Moderate,0.35,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,3707.39,19,66.5,Loyalty Program,No,No,Urban
Model Y,No,Long-Distance Traveler,2,Home,Medium,Moderate,0.32,Fast,Highway,0.35,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,708.16,13,41.6,Discount,Yes,Yes,Highway Region
Model 3,No,Urban Commuter,7,Supercharger - Highway,Low,Moderate,0.28,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,1698.11,17,47.6,Referral,No,No,Suburban
Model X,Yes,Urban Commuter,2,Supercharger - Urban,Low,Moderate,0.43,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,2737.41,16,68.8,None,No,No,Urban
Model 3,Yes,Urban Commuter,1,Home,Low,Fast,0.45,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,2389.72,20,90,Discount,Yes,No,Rural
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.31,Fast,Destination,0.35,Fast,None,Monthly Subscription,50 kWh/month,1363.26,19,58.9,Discount,No,No,Urban
Model 3,No,Long-Distance Traveler,4,Supercharger - Urban,Low,Fast,0.44,Fast,Destination,0.35,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,2002.17,16,70.4,Loyalty Program,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,1,Supercharger - Urban,Low,Moderate,0.35,Fast,Destination,0.25,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,3774.68,20,70,Discount,Yes,Yes,Highway Region
Model Y,No,Urban Commuter,3,Supercharger - Highway,High,Fast,0.38,Fast,Urban,0.25,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,3511.66,16,60.8,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,Low,Fast,0.46,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Unlimited,823.17,19,87.4,None,No,No,Urban
Model Y,Yes,Urban Commuter,3,Destination Charger,Low,Fast,0.44,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,3862.92,20,88,Loyalty Program,No,No,Rural
Model Y,Yes,Urban Commuter,2,Home,Medium,Moderate,0.45,Fast,Highway,0.35,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,738.71,23,103.5,Discount,No,No,Rural
Model 3,Yes,Long-Distance Traveler,1,Home,Medium,Moderate,0.28,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,2943.17,22,61.6,Loyalty Program,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,High,Fast,0.27,Fast,Destination,0.25,Fast,None,Monthly Subscription,Unlimited,1670.28,14,37.8,Discount,No,No,Suburban
Model S,Yes,Urban Commuter,2,Supercharger - Urban,Low,Moderate,0.47,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,3144.61,24,112.8,None,No,No,Rural
Model S,Yes,Urban Commuter,3,Supercharger - Highway,High,Moderate,0.35,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,1675.98,15,52.5,Loyalty Program,Yes,Yes,Suburban
Model S,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.32,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,4932.31,21,67.2,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Moderate,0.43,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1893.78,14,60.2,None,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,Medium,Moderate,0.46,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,1588.82,17,78.2,Referral,No,No,Rural
Model 3,No,Long-Distance Traveler,5,Supercharger - Highway,High,Fast,0.47,Fast,Urban,0.25,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,1753.09,17,79.9,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Moderate,0.33,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4534.13,19,62.7,Discount,No,No,Urban
Model 3,Yes,Urban Commuter,3,Destination Charger,Low,Moderate,0.46,Fast,Urban,0.35,Fast,None,Pay-Per-Use,50 kWh/month,3362.98,20,92,Referral,Yes,Yes,Suburban
Model 3,Yes,Urban Commuter,3,Supercharger - Urban,High,Moderate,0.26,Fast,Highway,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,3788.08,19,49.4,Loyalty Program,Yes,No,Urban
Model 3,Yes,Urban Commuter,2,Home,Low,Moderate,0.26,Fast,Urban,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,4631.05,19,49.4,Loyalty Program,Yes,Yes,Highway Region
Model S,Yes,Urban Commuter,3,Destination Charger,Low,Moderate,0.41,Fast,Destination,0.25,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,4603.43,20,82,None,No,No,Suburban
Model Y,Yes,Urban Commuter,1,Destination Charger,Low,Moderate,0.27,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,3825.26,22,59.4,None,No,No,Highway Region
Model S,Yes,Urban Commuter,3,Home,Low,Moderate,0.33,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1390.21,22,72.6,None,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,1,Destination Charger,High,Moderate,0.42,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,4295.18,28,117.6,Referral,No,No,Urban
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Urban,Medium,Fast,0.33,Fast,Destination,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,1416.99,22,72.6,Referral,No,No,Suburban
Model S,No,Urban Commuter,6,Supercharger - Highway,Medium,Fast,0.29,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,3843.04,24,69.6,Loyalty Program,No,No,Highway Region
Model S,No,Urban Commuter,2,Supercharger - Urban,Medium,Fast,0.32,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,3585.21,12,38.4,None,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,2,Home,High,Fast,0.36,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,3915,22,79.2,Loyalty Program,No,No,Highway Region
Model X,Yes,Long-Distance Traveler,1,Home,Low,Moderate,0.37,Fast,Destination,0.25,Fast,None,Monthly Subscription,Up to 200 kWh,2897.09,18,66.6,Referral,No,No,Rural
Model X,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Fast,0.45,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,3374.27,17,76.5,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Fast,0.44,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,4789.94,25,110,Loyalty Program,No,No,Highway Region
Model S,No,Urban Commuter,4,Supercharger - Urban,Low,Moderate,0.36,Fast,Destination,0.45,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,954.9,15,54,Referral,No,No,Rural
Model 3,Yes,Urban Commuter,2,Home,Medium,Moderate,0.46,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Unlimited,1889.81,20,92,None,Yes,Yes,Urban
Model S,Yes,Urban Commuter,2,Supercharger - Urban,Low,Moderate,0.28,Fast,Highway,0.45,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,3251.11,16,44.8,Discount,Yes,Yes,Rural
Model Y,Yes,Urban Commuter,3,Home,Medium,Moderate,0.31,Fast,Urban,0.25,Fast,None,Unlimited Fast-Charging,50 kWh/month,4838.24,19,58.9,Discount,No,No,Highway Region
Model X,No,Urban Commuter,7,Supercharger - Urban,Medium,Moderate,0.46,Fast,Highway,0.35,Fast,App Navigation Integration,Monthly Subscription,Unlimited,930.09,27,124.2,Discount,No,No,Urban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Urban,Medium,Fast,0.34,Fast,Destination,0.35,Fast,None,Monthly Subscription,Unlimited,601.47,19,64.6,None,Yes,No,Rural
Model S,Yes,Urban Commuter,1,Supercharger - Urban,Low,Moderate,0.5,Fast,Highway,0.35,Fast,None,Monthly Subscription,Unlimited,750.87,13,65,Discount,Yes,Yes,Highway Region
Model 3,Yes,Long-Distance Traveler,2,Home,High,Fast,0.37,Fast,Highway,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,735.83,22,81.4,Referral,No,No,Rural
Model 3,Yes,Urban Commuter,2,Destination Charger,Low,Fast,0.45,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,4585.17,24,108,Loyalty Program,No,No,Urban
Model X,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Moderate,0.35,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,3745.66,28,98,Discount,Yes,Yes,Urban
Model X,Yes,Urban Commuter,3,Home,Low,Fast,0.36,Fast,Urban,0.35,Fast,None,Monthly Subscription,50 kWh/month,3546.98,14,50.4,Discount,Yes,Yes,Urban
Model Y,Yes,Urban Commuter,2,Home,High,Fast,0.35,Fast,Highway,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,2851.58,19,66.5,Referral,Yes,Yes,Highway Region
Model 3,Yes,Urban Commuter,3,Supercharger - Urban,Low,Moderate,0.43,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,50 kWh/month,4018.79,19,81.7,None,Yes,Yes,Rural
Model S,Yes,Long-Distance Traveler,3,Supercharger - Urban,High,Fast,0.39,Fast,Highway,0.35,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,1200.42,16,62.4,Discount,No,No,Rural
Model X,Yes,Long-Distance Traveler,3,Destination Charger,High,Fast,0.49,Fast,Highway,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2263.74,22,107.8,Referral,Yes,No,Highway Region
Model Y,Yes,Long-Distance Traveler,1,Home,Low,Fast,0.31,Fast,Highway,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,2705.02,12,37.2,Referral,No,No,Urban
Model 3,Yes,Urban Commuter,3,Home,Medium,Moderate,0.28,Fast,Destination,0.35,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,996.84,26,72.8,None,No,No,Suburban
Model Y,No,Urban Commuter,6,Supercharger - Highway,High,Moderate,0.35,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2387.81,17,59.5,None,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Home,Low,Moderate,0.4,Fast,Urban,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,1924.26,21,84,Loyalty Program,Yes,No,Suburban
Model 3,Yes,Urban Commuter,3,Destination Charger,High,Fast,0.47,Fast,Destination,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,660.12,18,84.6,Discount,Yes,Yes,Urban
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,Medium,Moderate,0.34,Fast,Highway,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,1115.31,16,54.4,Loyalty Program,Yes,Yes,Highway Region
Model S,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Fast,0.41,Fast,Highway,0.45,Fast,None,Pay-Per-Use,Unlimited,3938.17,21,86.1,Referral,Yes,No,Suburban
Model S,No,Urban Commuter,2,Supercharger - Highway,Low,Moderate,0.34,Fast,Urban,0.45,Fast,App Navigation Integration,Monthly Subscription,Unlimited,581.17,10,34,Discount,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,2,Supercharger - Urban,Low,Fast,0.4,Fast,Destination,0.45,Fast,Lounge Access,Monthly Subscription,Unlimited,4704.14,24,96,Referral,Yes,Yes,Suburban
Model X,No,Urban Commuter,4,Supercharger - Urban,Medium,Moderate,0.47,Fast,Highway,0.35,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,888.91,24,112.8,Referral,Yes,Yes,Rural
Model 3,Yes,Long-Distance Traveler,2,Home,High,Moderate,0.31,Fast,Urban,0.35,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,4096.57,25,77.5,Referral,No,No,Suburban
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.35,Fast,Urban,0.45,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,4543.77,12,42,None,No,No,Suburban
Model Y,No,Urban Commuter,6,Destination Charger,High,Moderate,0.5,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4735.11,27,135,None,Yes,No,Suburban
Model 3,No,Long-Distance Traveler,5,Supercharger - Urban,High,Fast,0.47,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,4403.65,23,108.1,Discount,Yes,Yes,Rural
Model 3,No,Urban Commuter,2,Destination Charger,Medium,Moderate,0.39,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,1793.98,20,78,Referral,Yes,Yes,Highway Region
Model Y,No,Urban Commuter,6,Destination Charger,Low,Moderate,0.38,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,1998.89,15,57,Referral,No,No,Rural
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Urban,High,Fast,0.32,Fast,Highway,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,2419.46,18,57.6,Discount,No,No,Suburban
Model S,No,Urban Commuter,7,Supercharger - Urban,Low,Fast,0.38,Fast,Urban,0.35,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,1126.84,23,87.4,Loyalty Program,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,Low,Fast,0.46,Fast,Destination,0.45,Fast,None,Monthly Subscription,Up to 200 kWh,600.23,18,82.8,Referral,No,No,Rural
Model S,No,Urban Commuter,2,Supercharger - Urban,Medium,Moderate,0.42,Fast,Highway,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4411.05,17,71.4,None,No,No,Urban
Model Y,Yes,Urban Commuter,1,Supercharger - Highway,Low,Fast,0.32,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,2993.58,16,51.2,Loyalty Program,Yes,Yes,Rural
Model Y,No,Urban Commuter,7,Supercharger - Highway,Low,Moderate,0.3,Fast,Urban,0.25,Fast,None,Pay-Per-Use,50 kWh/month,3239.25,21,63,Loyalty Program,No,No,Rural
Model X,Yes,Urban Commuter,2,Supercharger - Highway,High,Fast,0.32,Fast,Destination,0.25,Fast,None,Monthly Subscription,Unlimited,4671.45,17,54.4,Loyalty Program,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,Medium,Fast,0.29,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,3493.04,19,55.1,Loyalty Program,No,No,Highway Region
Model Y,Yes,Urban Commuter,2,Home,Low,Fast,0.27,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,3608.84,23,62.1,Loyalty Program,No,No,Highway Region
Model S,No,Long-Distance Traveler,1,Supercharger - Highway,High,Fast,0.35,Fast,Destination,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,4041.36,25,87.5,Loyalty Program,No,No,Suburban
Model Y,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Fast,0.28,Fast,Urban,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,1023.57,32,89.6,Discount,No,No,Rural
Model 3,Yes,Urban Commuter,3,Destination Charger,Medium,Fast,0.29,Fast,Highway,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,2120.73,23,66.7,Discount,Yes,Yes,Highway Region
Model Y,Yes,Urban Commuter,3,Supercharger - Highway,High,Moderate,0.39,Fast,Urban,0.45,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,4856.94,17,66.3,Loyalty Program,No,No,Highway Region
Model Y,Yes,Urban Commuter,2,Home,High,Fast,0.29,Fast,Urban,0.45,Fast,None,Pay-Per-Use,Unlimited,4653.19,21,60.9,None,Yes,No,Highway Region
Model 3,No,Long-Distance Traveler,2,Supercharger - Urban,High,Moderate,0.27,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,4478.34,24,64.8,Discount,No,No,Suburban
Model S,Yes,Long-Distance Traveler,3,Destination Charger,High,Fast,0.33,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2534.4,21,69.3,Discount,Yes,Yes,Urban
Model 3,No,Long-Distance Traveler,4,Destination Charger,High,Fast,0.31,Fast,Highway,0.35,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,4357.37,19,58.9,Loyalty Program,No,No,Urban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Highway,Low,Fast,0.38,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,717.78,19,72.2,None,No,No,Urban
Model Y,Yes,Urban Commuter,3,Destination Charger,Low,Moderate,0.28,Fast,Urban,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1168.33,18,50.4,Loyalty Program,No,No,Urban
Model Y,No,Long-Distance Traveler,4,Supercharger - Highway,Medium,Moderate,0.44,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,2362.85,27,118.8,None,No,No,Urban
Model S,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Fast,0.48,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,2675.26,21,100.8,None,No,No,Highway Region
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,Low,Moderate,0.44,Fast,Highway,0.35,Fast,None,Monthly Subscription,Up to 200 kWh,1685.78,24,105.6,Referral,No,No,Highway Region
